dataset,method,which,image,aupr_finetuned,fpr95_finetuned,aupr_cityscapes,fpr95_cityscapes,prec_at_k,z_gap,anomaly_frac_%,explanation,file
FS_LostFound_full,MSP,best,2.png,87.97,15.72,29.06,19.98,0.913,3.93,1.4,AUPR=88.0 | FPR95=15.7 | localization P@|A|=0.91 | separation z=3.9 | anomaly size=1.4% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_FS_LostFound_full_msp_best.png
FS_LostFound_full,MSP,worst,97.png,0.0,20.72,0.0,90.15,0.0,-0.22,0.0,"AUPR=0.0 | FPR95=20.7 | localization P@|A|=0.00 | separation z=-0.2 | anomaly size=0.0% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected. The anomaly is very small, so a handful of stray high scores heavily penalise precision.",task8_qual_FS_LostFound_full_msp_worst.png
FS_LostFound_full,MaxLogit,best,76.png,92.05,2.06,77.5,0.4,0.869,7.68,1.54,AUPR=92.0 | FPR95=2.1 | localization P@|A|=0.87 | separation z=7.7 | anomaly size=1.5% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_FS_LostFound_full_maxlogit_best.png
FS_LostFound_full,MaxLogit,worst,97.png,0.01,11.33,0.0,58.04,0.0,-0.0,0.0,"AUPR=0.0 | FPR95=11.3 | localization P@|A|=0.00 | separation z=-0.0 | anomaly size=0.0% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected. The anomaly is very small, so a handful of stray high scores heavily penalise precision.",task8_qual_FS_LostFound_full_maxlogit_worst.png
FS_LostFound_full,Max Entropy,best,2.png,91.09,2.06,63.51,19.52,0.93,4.48,1.4,AUPR=91.1 | FPR95=2.1 | localization P@|A|=0.93 | separation z=4.5 | anomaly size=1.4% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_FS_LostFound_full_entropy_best.png
FS_LostFound_full,Max Entropy,worst,97.png,0.0,21.08,0.0,89.58,0.0,-0.13,0.0,"AUPR=0.0 | FPR95=21.1 | localization P@|A|=0.00 | separation z=-0.1 | anomaly size=0.0% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected. The anomaly is very small, so a handful of stray high scores heavily penalise precision.",task8_qual_FS_LostFound_full_entropy_worst.png
FS_LostFound_full,RbA,best,76.png,92.26,0.42,78.39,0.35,0.903,8.88,1.54,AUPR=92.3 | FPR95=0.4 | localization P@|A|=0.90 | separation z=8.9 | anomaly size=1.5% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_FS_LostFound_full_rba_best.png
FS_LostFound_full,RbA,worst,97.png,0.0,80.51,0.0,13.5,0.0,0.23,0.0,"AUPR=0.0 | FPR95=80.5 | localization P@|A|=0.00 | separation z=0.2 | anomaly size=0.0% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected. The anomaly is very small, so a handful of stray high scores heavily penalise precision.",task8_qual_FS_LostFound_full_rba_worst.png
fs_static,MSP,best,13.jpg,91.28,13.37,29.46,28.92,0.916,2.98,4.73,AUPR=91.3 | FPR95=13.4 | localization P@|A|=0.92 | separation z=3.0 | anomaly size=4.7% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_fs_static_msp_best.png
fs_static,MSP,worst,21.jpg,0.75,63.97,0.7,59.04,0.0,-0.21,0.66,"AUPR=0.7 | FPR95=64.0 | localization P@|A|=0.00 | separation z=-0.2 | anomaly size=0.7% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected. The anomaly is very small, so a handful of stray high scores heavily penalise precision.",task8_qual_fs_static_msp_worst.png
fs_static,MaxLogit,best,13.jpg,98.39,0.09,52.47,10.76,0.966,5.06,4.73,AUPR=98.4 | FPR95=0.1 | localization P@|A|=0.97 | separation z=5.1 | anomaly size=4.7% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_fs_static_maxlogit_best.png
fs_static,MaxLogit,worst,21.jpg,1.41,79.04,0.61,65.37,0.0,0.6,0.66,"AUPR=1.4 | FPR95=79.0 | localization P@|A|=0.00 | separation z=0.6 | anomaly size=0.7% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected. The anomaly is very small, so a handful of stray high scores heavily penalise precision.",task8_qual_fs_static_maxlogit_worst.png
fs_static,Max Entropy,best,13.jpg,95.95,0.85,37.24,28.98,0.941,3.94,4.73,AUPR=95.9 | FPR95=0.8 | localization P@|A|=0.94 | separation z=3.9 | anomaly size=4.7% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_fs_static_entropy_best.png
fs_static,Max Entropy,worst,21.jpg,0.72,63.63,0.7,58.55,0.0,-0.18,0.66,"AUPR=0.7 | FPR95=63.6 | localization P@|A|=0.00 | separation z=-0.2 | anomaly size=0.7% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected. The anomaly is very small, so a handful of stray high scores heavily penalise precision.",task8_qual_fs_static_entropy_worst.png
fs_static,RbA,best,13.jpg,98.36,0.07,50.14,10.17,0.965,3.21,4.73,AUPR=98.4 | FPR95=0.1 | localization P@|A|=0.97 | separation z=3.2 | anomaly size=4.7% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_fs_static_rba_best.png
fs_static,RbA,worst,21.jpg,0.91,79.6,0.53,79.31,0.0,0.53,0.66,"AUPR=0.9 | FPR95=79.6 | localization P@|A|=0.00 | separation z=0.5 | anomaly size=0.7% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected. The anomaly is very small, so a handful of stray high scores heavily penalise precision.",task8_qual_fs_static_rba_worst.png
RoadAnomaly,MSP,best,5.jpg,99.27,2.9,83.23,12.2,0.95,7.89,36.85,AUPR=99.3 | FPR95=2.9 | localization P@|A|=0.95 | separation z=7.9 | anomaly size=36.9% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_RoadAnomaly_msp_best.png
RoadAnomaly,MSP,worst,53.jpg,1.13,30.33,1.94,46.34,0.008,0.24,0.63,"AUPR=1.1 | FPR95=30.3 | localization P@|A|=0.01 | separation z=0.2 | anomaly size=0.6% -> the highest anomaly scores leak onto in-distribution regions (road/background), i.e. false positives, so precision collapses even if the object is partly detected. The anomaly is very small, so a handful of stray high scores heavily penalise precision.",task8_qual_RoadAnomaly_msp_worst.png
RoadAnomaly,MaxLogit,best,5.jpg,99.55,1.07,92.89,2.29,0.973,6.88,36.85,AUPR=99.5 | FPR95=1.1 | localization P@|A|=0.97 | separation z=6.9 | anomaly size=36.9% -> the finetuned model concentrates its highest anomaly scores on the anomalous object and clearly separates it from known classes -> high precision and AUPR.,task8_qual_RoadAnomaly_maxlogit_best.png
